Glycan,Monoisotopic Mass
Hex(4)HexNAc(2)MeHex(3)Pent(2)dHex(1),1992.7178855789
Hex(2)HexNAc(2)MeHex(5)Pent(2)dHex(1,2020.7491857073
Hex(3)HexNAc(2)MeHex(4)Pent(2)dHex(1),2006.7335356431
Hex(3)HexNAc(2)MeHex(3)Pent(2)dHex(1),1830.6650621474
Hex(4)HexNAc(2)MeHex(1)Pent(1)dHex(1),1508.5386798423
Hex(4)HexNAc(2)MeHex(2)Pent(2)dHex(1),1816.6494120832
Hex(4)HexNAc(2)MeHex(0)Pent(2)dHex(1),1464.5124650918
Hex(5)HexNAc(2)MeHex(1)Pent(2)dHex(1),1802.633762019
Hex(4)HexNAc(2)MeHex(1)Pent(2)dHex(1),1640.5809385875
Hex(5)HexNAc(2)MeHex(0)Pent(1)dHex(1),1494.5230297781
Hex(3)HexNAc(2)MeHex(2)Pent(2)dHex(1),1654.5965886517
Hex(2)HexNAc(2)MeHex(0)Pent(0)dHex(0),730.264391929
Hex(6)HexNAc(2)MeHex(0)Pent(1)dHex(0),1510.5179444002
Hex(5)HexNAc(2)MeHex(1)Pent(1)dHex(0),1524.5335944644
Hex(6)HexNAc(2)MeHex(0)Pent(0)dHex(1),1524.5335944644
Hex(4)HexNAc(2)MeHex(2)Pent(2)dHex(0),1670.5915032738
Hex(5)HexNAc(2)MeHex(1)Pent(2)dHex(0),1656.5758532096
Hex(7)HexNAc(2)MeHex(0)Pent(0)dHex(0),1540.5285090865
Hex(6)HexNAc(2)MeHex(2)Pent(2)dHex(1),2140.7550589462
Hex(5)HexNAc(2)MeHex(0)Pent(0)dHex(0),1216.4228622235
Hex(6)HexNAc(2)MeHex(0)Pent(0)dHex(0),1378.475685655
Hex(3)HexNAc(2)MeHex(0)Pent(0)dHex(0),880.2808298542
Hex(2)HexNAc(2)MeHex(1)Pent(1)dHex(0),1038.3751241699
Hex(7)HexNAc(2)MeHex(1)Pent(1)dHex(1),1994.6971501368
Hex(6)HexNAc(2)MeHex(2)Pent(1)dHex(1),2008.712800201
Hex(3)HexNAc(2)MeHex(0)Pent(0)dHex(1),1038.3751241699
Hex(2)HexNAc(2)MeHex(4)Pent(2)dHex(1),1844.6807122116
Hex(4)HexNAc(2)MeHex(1)Pent(0)dHex(1),1376.4964210971
Hex(6)HexNAc(2)MeHex(1)Pent(2)dHex(1),1964.6865854505
Hex(6)HexNAc(2)MeHex(1)Pent(1)dHex(1),1832.6443267053
Hex(5)HexNAc(2)MeHex(0)Pent(0)dHex(1),1362.4807710329
Hex(5)HexNAc(2)MeHex(2)Pent(2)dHex(0),1832.6443267053
Hex(4)HexNAc(2)MeHex(2)Pent(1)dHex(1),1684.607153338
Hex(3)HexNAc(2)MeHex(1)Pent(2)dHex(1),1478.528115156
Hex(6)HexNAc(2)MeHex(0)Pent(1)dHex(1),1656.5758532096
Hex(6)HexNAc(2)MeHex(0)Pent(2)dHex(1),1788.6181119548
Hex(2)HexNAc(2)MeHex(3)Pent(2)dHex(1),1668.6122387159
Hex(4)HexNAc(2)MeHex(0)Pent(1)dHex(0),1186.4122975372
Hex(7)HexNAc(2)MeHex(0)Pent(1)dHex(1),1818.6286766411
Hex(5)HexNAc(2)MeHex(1)Pent(1)dHex(1),1670.5915032738
Hex(3)HexNAc(2)MeHex(2)Pent(1)dHex(1),1522.5543299065
Hex(10)HexNAc(2)MeHex(0)Pent(1)dHex(0),2158.7292381262
Hex(8)HexNAc(2)MeHex(1)Pent(2)dHex(0),2142.7343235041
Hex(9)HexNAc(2)MeHex(0)Pent(1)dHex(0),1996.6764146947
Hex(5)HexNAc(2)MeHex(2)Pent(2)dHex(1),1978.7022355147
Hex(2)HexNAc(2)MeHex(2)Pent(2)dHex(1),1492.5437652202
Hex(4)HexNAc(2)MeHex(0)Pent(1)dHex(1),1332.4702063466
Hex(2)HexNAc(2)MeHex(0)Pent(0)dHex(1,876.3223007384
Hex(7)HexNAc(2)MeHex(1)Pent(2)dHex(0),1980.6815000726
Hex(5)HexNAc(2)MeHex(0)Pent(1)dHex(0),1348.4651209687
Hex(3)HexNAc(2)MeHex(2)Pent(2)dHex(0),1508.5386798423
Hex(5)HexNAc(2)MeHex(0)Pent(2)dHex(0),1480.5073797139
